circle,division,subdivision,section,area,totservices,billdservices,units,load,Year,Month,Date
SECUNDERABAD,PARADISE,JAMES STREET,PARADISE,GRC HIGH VALUE,1,1.0,3.0,10.0,2021,9,2021-09-01
SECUNDERABAD,SECUNDERABAD,LALBAZAR,BOLLARUM,GRC HIGH VALUE (GRP-M),1,1.0,1645.0,10.0,2021,9,2021-09-01
SURYAPET,HUZURNAGAR,KODAD,KODAD - RURAL,DORAKUNTA,1,1.0,20.0,18.0,2021,9,2021-09-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET RURAL,PILLALAMARRY,1,1.0,1.0,18.0,2021,9,2021-09-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET TOWN-I,LI B,1,1.0,4.0,15.0,2021,9,2021-09-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET TOWN-II,LI 2,1,1.0,22.0,15.0,2021,9,2021-09-01
YADADRI,CHOUTUPPAL,CHOUTUPPAL,CHOUTUPPAL,LINGOJI GUDEM,1,1.0,57.0,40.0,2021,9,2021-09-01
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,1,1.0,124.0,8.0,2021,10,2021-10-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,1,1.0,20.0,15.0,2021,10,2021-10-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,1,1.0,2528.0,50.0,2021,10,2021-10-01
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,1,1.0,62.0,22.0,2021,10,2021-10-01
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADINAGUDA HV,1,1.0,502.0,22.0,2021,10,2021-10-01
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SOCIETY HV2,1,1.0,125.0,15.0,2021,10,2021-10-01
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,GHATKESAR,1,1.0,21.0,30.0,2021,10,2021-10-01
HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM,NACHARAM,1,1.0,18.0,15.0,2021,10,2021-10-01
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,A S RAO NAGAR,MOULA - ALI (HV),1,1.0,47.0,22.0,2021,10,2021-10-01
HABSIGUDA,KEESARA,KEESARA,NAGARAM,NAGARAM,1,1.0,335.0,15.0,2021,10,2021-10-01
HYDERABAD CENTRAL,SAIFABAD,SAIFABAD,SOMAJIGUDA,30-NO AREA,1,1.0,225.0,22.0,2021,10,2021-10-01
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,SHANKARMUTT,GRC HV SHANKARMUTT,1,1.0,44.0,15.0,2021,10,2021-10-01
HYDERABAD SOUTH,BEGUM BAZAR,BEGUM BAZAR,CHUDI BAZAR,GRCHV CHUDIBAZAR,1,1.0,250.0,22.0,2021,10,2021-10-01
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,HYDERNAGAR CT METERS,2,2.0,61.0,33.0,2021,10,2021-10-01
MEDCHAL,MEDCHAL,QUTBULLAPUR,KOMPALLY,KOMPALLY HV,1,1.0,474.0,22.0,2021,10,2021-10-01
MEDCHAL,MEDCHAL,SHAMEERPET,SHAMEERPET,THUMUKUNTA,1,1.0,21.0,30.0,2021,10,2021-10-01
MEDCHAL,KUKATPALLY,MIYAPUR,BACHUPALLY,CT&HV,1,1.0,23.0,22.0,2021,10,2021-10-01
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,PAMANGUNDLA,1,0.0,0.0,18.0,2021,10,2021-10-01
NALGONDA,NALGONDA,NALGONDA RURAL,NARKETPALLY,NARKETPALLY TOWN1,1,0.0,0.0,18.0,2021,10,2021-10-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,PAHADISHARIFF,SHAHEEN NAGAR II,1,1.0,0.0,15.0,2021,10,2021-10-01
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,MD PALLY,URRAM GADDA,1,1.0,0.0,5.0,2021,10,2021-10-01
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,GAGANPAHAD,GAGANPAHAD,1,1.0,163.0,22.0,2021,10,2021-10-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,MAHESHWARAM,IMAMGUDA,1,1.0,80.0,15.0,2021,10,2021-10-01
SANGAREDDY,SANGAREDDY,ISNAPUR,ISNAPUR,RUDRARAM,1,1.0,23.0,22.0,2021,10,2021-10-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,MALLIKARJUNA NAGAR,1,1.0,1247.0,10.0,2021,10,2021-10-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SAI COLONY,1,1.0,27.0,22.0,2021,10,2021-10-01
SAROORNAGAR,CHAMPAPET,CHAMPAPET,CHAMPAPET,HV CPT SOUTH,1,1.0,118.0,22.0,2021,10,2021-10-01
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BN REDDY NAGAR,HASTINAPURAM CENTR,1,1.0,0.0,22.0,2021,10,2021-10-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,DHANAPUR & JANAPRIYA COLONY,1,1.0,1432.0,13.0,2021,10,2021-10-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,KRISHNA NAGAR-,1,1.0,326.0,7.0,2021,10,2021-10-01
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,NADELGUL,1,1.0,46.0,30.0,2021,10,2021-10-01
SECUNDERABAD,PARADISE,JAMES STREET,PARADISE,GRC HIGH VALUE,1,1.0,13.0,10.0,2021,10,2021-10-01
SECUNDERABAD,SECUNDERABAD,LALBAZAR,BOLLARUM,GRC HIGH VALUE (GRP-M),1,1.0,1180.0,10.0,2021,10,2021-10-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET RURAL,PILLALAMARRY,1,1.0,0.0,18.0,2021,10,2021-10-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET TOWN-I,LI B,1,1.0,4.0,15.0,2021,10,2021-10-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET TOWN-II,LI 2,1,1.0,43.0,15.0,2021,10,2021-10-01
SURYAPET,HUZURNAGAR,KODAD,KODAD - RURAL,DORAKUNTA,1,1.0,30.0,18.0,2021,10,2021-10-01
YADADRI,CHOUTUPPAL,CHOUTUPPAL,CHOUTUPPAL,LINGOJI GUDEM,1,1.0,109.0,40.0,2021,10,2021-10-01
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,1,1.0,134.0,8.0,2021,11,2021-11-01
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,1,1.0,50.0,22.0,2021,11,2021-11-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,1,1.0,14.0,15.0,2021,11,2021-11-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,1,1.0,1982.0,50.0,2021,11,2021-11-01
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SOCIETY HV2,1,1.0,244.0,15.0,2021,11,2021-11-01
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADINAGUDA HV,1,1.0,55.0,22.0,2021,11,2021-11-01
HABSIGUDA,KEESARA,KEESARA,NAGARAM,NAGARAM,1,1.0,17.0,15.0,2021,11,2021-11-01
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,A S RAO NAGAR,MOULA - ALI (HV),1,1.0,93.0,22.0,2021,11,2021-11-01
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,GHATKESAR,1,1.0,33.0,30.0,2021,11,2021-11-01
HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM,NACHARAM,1,1.0,18.0,15.0,2021,11,2021-11-01
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,MARUTHI NAGAR,1,0.0,0.0,5.0,2021,11,2021-11-01
HYDERABAD CENTRAL,SAIFABAD,SAIFABAD,SOMAJIGUDA,30-NO AREA,1,1.0,110.0,22.0,2021,11,2021-11-01
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,SHANKARMUTT,GRC HV SHANKARMUTT,1,1.0,13.0,15.0,2021,11,2021-11-01
HYDERABAD SOUTH,BEGUM BAZAR,BEGUM BAZAR,CHUDI BAZAR,GRCHV CHUDIBAZAR,1,1.0,326.0,22.0,2021,11,2021-11-01
MEDCHAL,KUKATPALLY,MIYAPUR,BACHUPALLY,CT&HV,1,1.0,21.0,22.0,2021,11,2021-11-01
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,HYDERNAGAR CT METERS,2,2.0,97.0,33.0,2021,11,2021-11-01
MEDCHAL,MEDCHAL,SHAMEERPET,SHAMEERPET,THUMUKUNTA,1,1.0,22.0,30.0,2021,11,2021-11-01
MEDCHAL,MEDCHAL,QUTBULLAPUR,KOMPALLY,KOMPALLY HV,1,1.0,679.0,22.0,2021,11,2021-11-01
NALGONDA,NALGONDA,NALGONDA RURAL,NARKETPALLY,NARKETPALLY TOWN1,1,1.0,0.0,18.0,2021,11,2021-11-01
NALGONDA,NALGONDA,NAKREKAL,KATTANGUR,PAMANGUNDLA,1,1.0,47.0,18.0,2021,11,2021-11-01
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,GAGANPAHAD,GAGANPAHAD,1,1.0,70.0,22.0,2021,11,2021-11-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,MAHESHWARAM,IMAMGUDA,1,1.0,318.0,15.0,2021,11,2021-11-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,PAHADISHARIFF,SHAHEEN NAGAR II,1,1.0,0.0,15.0,2021,11,2021-11-01
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,MD PALLY,URRAM GADDA,1,1.0,2128.0,5.0,2021,11,2021-11-01
SANGAREDDY,SANGAREDDY,ISNAPUR,ISNAPUR,RUDRARAM,1,1.0,29.0,22.0,2021,11,2021-11-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,MALLIKARJUNA NAGAR,1,1.0,2064.0,10.0,2021,11,2021-11-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,ROCK TOWN,1,0.0,0.0,5.0,2021,11,2021-11-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,DHANAPUR & JANAPRIYA COLONY,1,1.0,1553.0,13.0,2021,11,2021-11-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,KRISHNA NAGAR-,1,1.0,135.0,7.0,2021,11,2021-11-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SAI COLONY,1,1.0,49.0,22.0,2021,11,2021-11-01
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,NADELGUL,1,1.0,46.0,30.0,2021,11,2021-11-01
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BN REDDY NAGAR,HASTINAPURAM CENTR,1,1.0,0.0,22.0,2021,11,2021-11-01
SAROORNAGAR,CHAMPAPET,CHAMPAPET,CHAMPAPET,HV CPT SOUTH,1,1.0,185.0,22.0,2021,11,2021-11-01
